start,end,distance,speed limit
311080383,3226037492,22.359,46.4
311080383,2270143902,11.311,46.4
311783915,311783920,23.253,49.3
311783915,5261849828,7.504,49.3
311783920,441708982,15.391,49.3
311783920,311783915,23.253,49.3
311783963,5261849825,80.144,49.3
311783963,7984700223,11.914,49.3
311783969,5261849825,48.711,49.3
311783969,5261851084,42.395,50.0
311783969,1747621107,185.168,50.0
311783969,1723037707,224.481,49.3
311783971,7798135085,12.764,49.3
311783971,7798135090,11.471,49.3
311783971,7466790408,56.365,49.3
311783971,3012065042,13.852,49.3
311783991,3951197835,136.651,50.0
311783991,2606055790,11.461,49.3
311783999,26069885,11.474,46.4
311783999,3010048440,55.186,50.0
311784002,3010048441,159.945,50.0
311784014,311784017,102.764,50.0
311784014,26059491,10.422,59.3
311784017,311784021,237.677,50.0
311784017,3951197837,10.784,49.3
311784021,311784024,160.502,50.0
311784024,321706138,58.838,50.0
313164076,2761345326,39.984,49.3
313164076,2761345324,30.411,49.3
313164076,1101582658,71.16,49.3
313164089,7444933784,37.111,46.4
313164089,665074329,215.407,46.4
313164089,441708903,42.788,49.3
313164089,2534921818,123.443,49.3
313164093,1101582425,87.293,46.4
313164093,1953248302,34.245,49.3
313164093,441708902,38.796,49.3
313164098,321706416,25.053,46.4
313164098,1953248265,37.133,46.4
313164113,4421568677,33.248,46.4
313164113,441708908,53.316,46.4
313164120,2990938768,4.197,46.4
313164120,4421568677,33.238,46.4
313164120,321706410,45.929,50.0
313164126,3357165290,11.848,46.4
313164126,2990938768,35.613,46.4
313164126,3012358522,196.604,50.0
313164142,415647757,18.645,49.3
313164142,1099409213,156.026,50.0
313164142,1737256490,58.264,49.3
313164160,2600512320,30.309,46.4
313164160,2600512316,88.657,49.3
313164160,1307159422,91.429,49.3
313164160,1151731340,58.282,46.4
313164182,382954329,79.942,59.3
313164190,311080369,85.05,59.3
313164197,1983162863,66.537,59.3
313164209,4419495125,21.481,59.3
313164209,4419495126,22.869,59.3
313164221,4419495123,25.014,59.3
314947099,314947110,24.874,59.3
314947099,1978206360,50.201,50.0
314947100,321706333,21.214,59.3
314947100,3335611400,50.104,50.0
314947101,314947102,41.6,59.3
314947102,314947103,23.16,59.3
314947103,2107527607,78.946,59.3
314947106,4419495109,97.423,59.3
314947107,2625683963,234.862,59.3
314947108,2625683964,131.631,59.3
314947109,4413559932,276.658,100.0
314947110,1978206357,13.181,59.3
314947111,314947112,13.967,59.3
314947112,1978206300,11.682,59.3
314947113,314947114,14.037,59.3
314947114,1978206290,13.242,59.3
314947115,314947116,15.092,59.3
314947116,1978206307,13.918,59.3
314947117,314947118,13.216,59.3
314947118,1978206350,12.323,59.3
314947120,426526843,26.274,46.4
314947120,2272116587,8.002,46.4
315310567,4413397678,23.231,90.0
315310567,1156712577,43.345,78.6
315310569,3669623695,28.6,90.0
315310570,315310569,419.17,90.0
315310571,4419542879,214.66,90.0
315310572,315310571,361.489,90.0
315310573,315310572,387.839,90.0
315310574,4419525001,74.71,90.0
315310575,3669624972,333.96,90.0
315310576,4498777591,251.677,90.0
315310708,7537285782,9.465,49.3
315310709,6048727514,11.33,49.3
315310709,3597730446,22.69,50.0
315310709,3597730453,127.836,46.4
315310709,3597730434,164.484,46.4
315310714,7537285910,61.399,50.0
315310714,2989530405,63.89,50.0
315310715,316623788,111.473,50.0
315310715,418760276,16.523,50.0
315310715,2136831318,148.559,50.0
316228988,4413501381,19.852,90.0
316228990,316228991,13.569,90.0
316228991,4413501376,17.058,90.0
316228992,316228993,31.042,90.0
316228993,316228994,28.453,90.0
316228994,3311194788,14.555,90.0
316228995,316228996,34.705,90.0
316228996,316228997,35.883,90.0
316228997,316228998,39.43,90.0
316228998,4419499811,45.933,90.0
316229000,316229001,38.341,90.0
316229001,2141140253,87.231,90.0
316451852,316451868,206.413,90.0
316451868,4413501384,156.599,90.0
316451900,4413501379,53.118,90.0
316451905,4413501367,32.987,90.0
316451908,3335288904,116.233,50.0
316451911,3311848931,14.192,50.0
316451914,2909020898,93.854,50.0
316451917,4413501355,22.873,50.0
316622555,6435472419,27.932,49.3
316622556,4308577544,10.819,59.3
316622556,316622625,14.236,59.3
316622556,316622557,9.786,49.3
316622557,4447117347,71.883,49.3
316622558,4308577515,72.891,49.3
316622574,1371261642,63.521,49.3
316622589,2903217080,17.402,59.3
316622589,316622621,10.339,59.3
316622589,4308577527,9.229,49.3
316622604,316622605,69.792,49.3
316622605,316622606,60.076,49.3
316622606,316622607,50.068,49.3
316622607,4308577511,60.889,49.3
316622610,4308577540,63.662,49.3
316622611,2270099628,55.241,49.3
316622612,4308578677,17.172,49.3
316622613,5601254516,36.11,49.3
316622614,5601254518,9.751,49.3
316622614,5601254520,13.133,49.3
316622614,5601255521,7.043,49.3
316622615,1919128601,10.359,49.3
316622615,4161791385,5.935,46.4
316622616,316622617,54.989,49.3
316622617,316622618,51.273,49.3
316622618,316622619,53.998,49.3
316622619,316622620,71.066,49.3
316622620,4308577539,25.292,49.3
316622621,316622589,10.339,59.3
316622621,4308577525,12.69,49.3
316622622,1512806490,66.541,49.3
316622624,1987108031,9.919,49.3
316622625,316622556,14.236,59.3
316622625,4308577538,17.197,49.3
316622626,331685115,16.922,49.3
316622626,6435472420,14.127,49.3
316622626,6435472418,13.184,49.3
316622628,3665029962,183.561,49.3
316622629,1985391128,243.029,49.3
316622630,3371223562,6.438,49.3
316622632,3665029963,10.919,49.3
316622632,1076646383,16.172,59.3
316622632,2772865052,121.27,59.3
316622633,3664678577,157.851,49.3
316622633,4061814753,13.779,49.3
316623788,316623789,113.317,50.0
316623789,316623790,78.525,90.0
316623789,318556931,50.709,50.0
316623790,316623791,64.033,90.0
316623791,4429500136,57.197,90.0
316623792,4429500134,59.807,90.0
316623793,4429500132,40.882,78.6
318296062,59841235,426.478,100.0
318296063,318296062,212.039,100.0
318296064,59840896,69.662,100.0
318296065,318296064,155.448,100.0
318296824,1747621105,10.518,46.4
318296824,1076646409,16.466,46.4
318296824,1747621099,256.195,50.0
318296826,318296827,215.661,50.0
318296827,1747621055,17.213,50.0
318296843,2626912650,46.595,46.4
318296844,318296845,87.987,46.4
318296845,2348039087,29.345,46.4
318296846,318296847,29.882,46.4
318296847,1755241760,30.645,46.4
318296847,318296852,34.512,49.3
318296847,2348039075,40.986,49.3
318296849,318296850,54.804,49.3
318296849,321706409,72.148,49.3
318296850,318296851,50.383,49.3
318296850,318296849,54.804,49.3
318296850,4077000151,9.586,59.3
318296851,325668374,19.174,49.3
318296851,318296850,50.383,49.3
318296852,318296847,34.512,49.3
318296852,325668374,21.897,49.3
318556929,4429500137,109.753,90.0
318556930,4429500139,94.017,90.0
318556931,698993624,15.9,90.0
318918096,318918098,51.587,59.3
318918096,3335611398,122.217,50.0
318918098,318918102,29.575,59.3
318918102,318918105,23.518,59.3
318918105,2272116574,27.916,59.3
318918107,2606023505,24.979,49.3
318918114,26069823,43.116,49.3
318918116,26069824,28.48,49.3
318918118,318918121,47.272,49.3
318918121,318918123,52.677,49.3
318918123,318918125,55.4,49.3
318918125,318918126,46.835,49.3
318918126,318918127,62.866,49.3
318918127,5601254519,89.607,49.3
318918129,318918136,41.088,49.3
318918136,318918139,31.592,49.3
318918139,318918174,51.961,49.3
318918174,318918185,56.691,49.3
318918185,318918186,48.21,49.3
318918186,318918189,49.032,49.3
318918189,318918190,62.745,49.3
318918190,318918191,40.904,49.3
318918191,318918192,25.589,49.3
318918192,318918194,27.987,49.3
318918194,4382229571,27.487,49.3
318918195,318918196,38.757,49.3
318918196,1726063055,34.381,49.3
318918196,1726063078,54.262,49.3
318918199,318918200,32.289,49.3
318918200,3335611395,54.993,49.3
318918200,1724154154,25.192,49.3
318918202,4308578679,30.768,49.3
318918203,4308578681,29.535,49.3
318918204,4308577529,22.312,49.3
318918205,4308577528,126.623,49.3
318919585,1554230227,20.206,46.4
318919585,429592661,11.621,46.4
318919585,318919586,118.244,49.3
318919586,6435472421,75.24,59.3
318919586,1371261651,74.936,49.3
318919601,1919128613,12.892,49.3
318919602,1983226974,16.659,49.3
318919610,1984416807,96.794,49.3
318919628,1984387099,44.078,49.3
318919638,1163353672,24.349,59.3
318919638,427515899,121.08,49.3
318919638,1984387100,32.216,49.3
318919640,1984387104,14.039,46.4
318919640,1984387105,25.939,49.3
318919640,427515899,41.039,49.3
318919652,2905733961,35.351,49.3
318919652,426526840,36.862,49.3
318919653,5365901142,44.935,49.3
318919653,424652484,33.521,49.3
318919665,322800791,195.046,49.3
318919665,1779179564,158.679,49.3
318919670,418281203,19.718,49.3
318919670,4817577918,51.506,49.3
318919673,2916169642,14.646,50.0
318919673,3335279401,12.091,46.4
320239324,1978206225,72.28,59.3
320239325,59841239,71.378,100.0
320239328,5069109522,50.098,46.4
320239328,2271410275,59.819,46.4
320239328,5267544821,34.477,46.4
320239329,320239330,35.454,46.4
320239329,2271410275,58.17,46.4
320239330,4407994839,7.763,46.4
320239330,320239329,35.454,46.4
321706129,1747621094,11.797,46.4
321706129,1747621091,98.193,50.0
321706130,665074329,60.675,46.4
321706130,1747621094,223.538,46.4
321706137,2270099662,16.55,49.3
321706137,2625226958,70.174,49.3
321706137,2348039033,23.353,49.3
321706138,26069872,11.376,49.3
321706138,2347844381,10.653,50.0
321706139,4412657217,15.306,49.3
321706139,2348039073,25.61,49.3
321706140,4412657220,13.322,49.3
321706140,2348039069,38.007,49.3
321706141,2348039038,38.009,49.3
321706141,4421637911,26.12,49.3
321706143,2625683952,11.197,59.3
321706143,4419530814,40.761,49.3
321706146,1747620900,19.807,50.0
321706260,321706261,55.172,50.0
321706261,321706262,15.011,50.0
321706262,3335611397,15.527,50.0
321706262,1101582428,35.658,50.0
321706262,1859239470,12.885,59.3
321706262,3677437814,28.089,46.4
321706311,2628540300,19.174,46.4
321706311,2628540297,13.331,46.4
321706315,7916358972,9.767,49.3
321706315,429592652,11.788,46.4
321706316,7224393859,5.102,46.4
321706316,2272116576,20.99,46.4
321706316,2272116577,17.259,46.4
321706318,321706319,48.565,46.4
321706318,7224393859,33.222,46.4
321706319,321706320,28.021,46.4
321706319,321706318,48.565,46.4
321706320,321706321,34.853,46.4
321706320,321706319,28.021,46.4
321706321,321706322,29.724,46.4
321706321,321706320,34.853,46.4
321706322,321706324,20.771,46.4
321706322,321706321,29.724,46.4
321706324,321706322,20.771,46.4
321706324,321706325,60.068,59.3
321706325,321706324,60.068,59.3
321706325,2578036796,4.456,59.3
321706326,2578036820,20.884,59.3
321706327,321706328,50.694,59.3
321706328,321706329,65.294,59.3
321706329,2578036863,27.764,59.3
321706330,2578036865,15.473,59.3
321706330,2578036863,17.914,59.3
321706331,2578036873,10.173,59.3
321706331,2578036869,10.198,59.3
321706332,321706333,14.158,59.3
321706332,2578036873,11.908,59.3
321706333,314947100,21.214,59.3
321706333,321706332,14.158,59.3
321706337,1120363051,104.847,46.4
321706337,1120363029,67.559,50.0
321706337,1120362934,42.52,50.0
321706338,1097076793,45.381,46.4
321706338,4413455814,102.103,50.0
321706338,1120362712,103.845,50.0
321706338,1120362650,45.995,46.4
321706339,1737223270,346.912,46.4
321706339,4413455814,11.875,50.0
321706339,4419131111,21.781,50.0
321706341,7930454485,8.49,59.3
321706341,1482272894,22.484,46.4
321706341,1120362650,69.378,46.4
321706342,1987033392,25.308,46.4
321706342,1482272894,14.539,46.4
321706343,1702087883,9.912,46.4
321706343,1987033388,34.402,46.4
321706344,1720776496,25.761,46.4
321706344,1702087932,38.798,46.4
321706345,321706346,39.78,46.4
321706345,1720776496,17.743,46.4
321706346,8267091931,25.448,46.4
321706346,321706345,39.78,46.4
321706347,8267091930,8.171,46.4
321706347,8267091931,16.814,46.4
321706348,1987033349,9.524,46.4
321706348,1987033351,11.35,46.4
321706349,1987033347,12.924,46.4
321706349,1987033349,11.352,46.4
321706350,1987033345,17.321,46.4
321706350,1987033347,11.144,46.4
321706363,6315376027,6.667,46.4
321706363,6315376026,43.355,49.3
321706363,665087333,27.197,46.4
321706366,1068801445,58.047,46.4
321706366,6315376027,26.303,46.4
321706366,924213338,43.705,46.4
321706369,321706370,61.15,49.3
321706369,3331411550,14.068,50.0
321706369,2399106463,17.808,46.4
321706369,5371862406,15.99,59.3
321706370,321706371,161.586,49.3
321706371,4419142221,8.283,49.3
321706371,4419142220,7.856,49.3
321706377,4408412729,19.923,49.3
321706377,1127494351,76.466,49.3
321706379,4421607789,29.144,46.4
321706379,1103039562,40.737,46.4
321706380,3355806029,56.903,49.3
321706380,4401808638,30.877,46.4
321706380,7721501220,68.875,49.3
321706380,1103039646,90.71,46.4
321706382,2078325812,38.81,50.0
321706382,1122468024,12.394,49.3
321706382,1122467973,177.78,50.0
321706394,1122467954,60.853,46.4
321706394,1188790281,12.52,49.3
321706394,1188790108,55.143,50.0
321706395,2630761964,124.295,49.3
321706395,1079387306,63.026,46.4
321706395,2630761950,50.395,49.3
321706396,368297601,37.616,49.3
321706396,7721501212,22.452,49.3
321706397,368297601,171.533,49.3
321706397,2726738885,95.063,49.3
321706398,3218814937,24.453,49.3
321706398,2600512323,22.82,49.3
321706399,6333865579,7.794,49.3
321706399,6333865580,13.801,49.3
321706399,6333865581,15.598,49.3
321706399,6333865582,11.415,49.3
321706409,318296849,72.148,49.3
321706409,1101582658,78.445,49.3
321706410,321706411,50.05,50.0
321706410,313164120,45.929,50.0
321706410,321706413,8.025,46.4
321706411,441709049,13.265,50.0
321706411,321706410,50.05,50.0
321706413,1953248250,75.878,46.4
321706413,321706410,8.025,46.4
321706414,321706415,10.653,46.4
321706415,321706414,10.653,46.4
321706415,1953248257,64.146,46.4
321706416,313164098,25.053,46.4
322800776,1151193544,10.128,49.3
322800776,1373613625,165.133,50.0
322800776,4413415503,14.575,49.3
322800777,1163353680,86.102,49.3
322800777,2383000379,71.058,49.3
322800777,2905733426,41.546,49.3
322800777,1163353694,85.849,49.3
322800785,1968971373,28.875,49.3
322800785,1127494323,140.461,49.3
322800785,2042814613,46.684,49.3
322800786,3485172099,79.14,59.3
322800786,1163353694,57.756,49.3
322800786,1163353663,62.508,49.3
322800787,3306931424,243.064,50.0
322800788,4413477040,34.474,50.0
322800789,3335279428,51.253,50.0
322800790,2385315982,79.168,50.0
322800791,318919665,195.046,49.3
322800791,3307250555,51.714,49.3
325668277,2270099678,76.356,46.4
325668277,665074294,77.897,49.3
325668277,7462405054,5.047,49.3
325668287,4421667264,26.801,59.3
325668287,2270233777,53.009,59.3
325668287,2270233799,16.939,49.3
325668287,7930411778,22.486,49.3
325668295,2348039054,24.794,46.4
325668295,2270099667,51.631,49.3
325668295,2270099669,55.11,49.3
325668295,7462405053,5.05,46.4
325668303,325668306,94.241,49.3
325668303,1632795431,23.434,49.3
325668306,1737223573,12.557,49.3
325668306,325668303,94.241,49.3
325668309,325668313,23.978,49.3
325668309,1737223573,10.659,49.3
325668313,325668316,34.451,49.3
325668313,325668309,23.978,49.3
325668316,1737223568,49.383,49.3
325668316,325668313,34.451,49.3
325668327,2626385805,16.034,46.4
325668374,318296852,21.897,49.3
325668374,318296851,19.174,49.3
331638814,4421520454,24.253,46.4
331638814,3484178782,20.413,46.4
331638816,2916985828,60.346,49.3
331638816,2916985870,73.175,49.3
331638816,4408412729,50.471,49.3
331638816,2905764739,141.87,49.3
331638817,2908793034,12.419,59.3
331638817,1127494203,75.198,49.3
331638817,3335279431,29.82,49.3
331638819,3335279432,18.855,49.3
331638819,2905764741,81.958,49.3
331638820,2607494545,7.258,49.3
331638820,4551174864,14.791,49.3
331638821,410456356,16.786,49.3
331638822,410456354,22.409,49.3
331638823,4551171694,12.117,49.3
331638823,331638824,12.138,49.3
331638824,2989548138,14.183,49.3
331638826,2607494546,7.497,49.3
331638827,2607494547,6.357,49.3
331638827,4551173407,14.808,46.4
331638828,2607494541,11.113,49.3
331638828,2383000377,82.82,46.4
331638829,4269544930,7.411,46.4
331638829,2607494542,17.611,49.3
331638832,2607494543,9.264,49.3
331638836,331638840,12.326,49.3
331638836,6437941619,10.85,49.3
331638840,2607494544,9.114,49.3
331638845,2383000375,126.95,46.4
331638845,3355904085,102.763,46.4
331638845,1079387328,39.531,46.4
331638846,4027797889,40.986,49.3
331638846,4551171694,36.437,49.3
331638848,1151193100,38.233,49.3
331638848,1151193208,44.778,49.3
331638852,1079387306,181.881,46.4
331638852,1079387236,147.833,46.4
331638852,1103039716,21.462,46.4
331638852,2421243550,57.749,46.4
331638856,2385315966,125.028,50.0
331638856,3335279405,10.618,46.4
331685115,665087326,19.245,49.3
331685115,1718165248,16.731,49.3
331685115,6435472416,13.246,49.3
331685119,1718165259,19.478,49.3
331685125,4447224938,50.316,49.3
338641974,1983162855,22.471,59.3
338641974,1983162852,67.72,50.0
338641975,1983162843,17.007,59.3
338641976,338641977,23.925,59.3
338641977,338641978,40.844,59.3
338641978,338641979,110.946,59.3
338641979,338641981,113.803,59.3
338641981,1983162829,79.684,59.3
346112680,2625683954,59.034,49.3
346112686,1747620911,14.967,59.3
346112686,1726063059,48.406,50.0
346112688,1747620909,7.712,59.3
346112696,1747620937,11.033,49.3
346112703,1747621087,238.443,50.0
346112705,1076646409,256.64,50.0
346112705,1747621099,12.162,46.4
346112705,1747621100,15.294,46.4
359868214,1099409486,243.053,46.4
359868214,2399106409,69.315,49.3
359868214,3357225544,15.242,46.4
359868218,4419142212,34.505,50.0
361550477,1747621115,7.789,49.3
361550477,1747621116,43.994,49.3
361550477,400886746,10.3,49.3
361552709,1986413641,18.863,49.3
361552709,4447117345,25.227,49.3
361552713,1986413602,16.182,46.4
361552713,5502368118,136.896,46.4
361552713,1512806349,78.839,49.3
361552950,361552953,45.169,59.3
361552950,2903217080,13.967,59.3
361552953,361552950,45.169,59.3
361552953,1101582040,128.914,46.4
361552953,1101582347,71.892,59.3
361552960,2628010869,3.643,59.3
361552960,2628010851,16.134,59.3
361552964,1477986274,13.564,59.3
361552964,2628010869,31.718,59.3
361552968,1477986289,17.383,59.3
361552968,1482253606,7.304,59.3
361552973,1099409396,37.665,59.3
361552973,1554230235,13.977,59.3
361552973,1099409304,195.295,59.3
361552977,4355285623,29.334,59.3
361552977,1554231832,17.685,59.3
368297594,4421598137,5.907,50.0
368297594,3331411550,21.396,50.0
368297594,1099409290,90.687,50.0
368297601,321706397,171.533,49.3
368297601,2078312046,60.271,49.3
368297601,321706396,37.616,49.3
368297602,1307159669,62.161,49.3
368297602,2385315974,123.912,49.3
368297602,2385315970,38.861,46.4
368297602,2385315973,82.75,46.4
368297603,1307159290,34.218,49.3
368297603,1307159669,59.385,49.3
368297603,1307159642,38.06,59.3
368297603,2905764752,40.134,59.3
368297608,3480106950,55.059,49.3
368297608,1079387244,30.562,49.3
382954209,4419495112,100.928,100.0
382954293,4419495108,33.37,59.3
382954308,4419495111,14.314,59.3
382954324,4419495113,18.72,59.3
382954328,1983162860,42.544,59.3
382954328,318296065,218.418,100.0
382954329,382954330,150.552,59.3
382954330,382954331,48.99,59.3
382954331,338641979,128.713,59.3
388545531,1307159474,75.625,46.4
388545531,2386842508,131.236,50.0
388545531,26069924,10.302,49.3
400886720,1122467918,95.545,46.4
400886720,1968971391,149.222,49.3
400886720,1127494232,40.585,49.3
400886721,1968971385,118.589,49.3
400886721,1968971391,43.84,49.3
400886725,1122467930,9.097,46.4
400886725,426882116,47.993,46.4
400886726,1122467994,55.495,46.4
400886726,1122468011,100.479,46.4
400886726,1122467907,49.842,46.4
400886727,1747621152,12.971,49.3
